,位置,次数
0,雅怡居,5
1,华港花园,12
2,六运小区,13
3,漾晴居,2
4,星河苑,1
5,珠江花城,4
6,金建苑,2
7,阳光假日园,6
8,华标广场,3
9,富力天朗明居,13
10,德荣小区,10
11,乐雅苑,1
12,天河区离退休干部第二休养所,1
13,穗园小区,5
14,棠德花苑,37
15,恒城大厦,2
16,电子五所宿舍,4
17,瑞心苑,6
18,华翠街小区,1
19,光机电研究所,4
20,交委宿舍,1
21,天健上城,5
22,华景新城泽晖苑,1
23,富力公园28,9
24,华南理工大学东住宅区,3
25,省粮油宿舍,1
26,中怡城市花园,9
27,信成小区,1
28,名门大厦,6
29,创逸雅苑,5
30,员村四横路5号大院,1
31,华文学院,1
32,南粤阁,2
33,枫丹雅筑,1
34,橡树园,8
35,盈彩美居,19
36,河源大厦,2
37,龙湖首开天宸原著,3
38,历德雅舍,6
39,尚东君御雅苑,7
40,隆基怡苑,1
41,侨源山庄,8
42,金田花苑,8
43,天平花苑,2
44,誉城苑,3
45,骏景花园,28
46,天一新村,6
47,联发名苑,1
48,汇富花园,3
49,新燕花园,7
50,天河东远洋宿舍,2
51,美林海岸,17
52,芳草园,4
53,南国花园,4
54,都市兰亭花园,8
55,粤和楼,3
56,新世界东逸花园,7
57,珠江俊园,9
58,天顺跃居,3
59,丽晶华庭,5
60,希尔顿阳光,2
61,都市华庭(天河),1
62,中人集团宿舍,2
63,嘉宝华庭,2
64,侨苑小区(天河区),1
65,跑马地花园,4
66,南雅苑,4
67,富力天河华庭,6
68,天誉华庭,6
69,侨乐新村,4
70,环宇花园,5
71,天惠大厦,3
72,云山翠苑,1
73,峻林,5
74,金碧华府,1
75,太阳广场,4
76,华南理工大学宿舍南秀村,2
77,怡苑,1
78,吉祥花苑,1
79,银燕大厦,4
80,汇峰苑,8
81,百合路38-64号宿舍（双号）,2
82,棠雅苑,1
83,天荣小区,2
84,天河山庄,4
85,华景新城瑞景楼,1
86,南国嘉园,2
87,招商雍华府,8
88,光华大厦,3
89,隽园,3
90,华景新城芳满庭园,2
91,粤海丽江花园,11
92,聚龙阁,1
93,仙湖名苑,2
94,喜洋居,4
95,华景新城逸意居,3
96,春晖苑(天河),2
97,赛拉维,10
98,理想蓝堡国际花园,2
99,华骏花园,3
100,信华经理人家园,5
101,力达广场,1
102,观山苑,4
103,中海康城,13
104,农工商学院,2
105,华景新城叠翠居,5
106,广东外语职业艺术学院五山校区,1
107,远洋明苑,3
108,春江花园,2
109,象牙厂宿舍,1
110,兴禺大厦,2
111,穗乐花园,5
112,华景新城陶然庭苑,8
113,聚侨苑,1
114,凯德天河新作新园,4
115,紫荆小区,5
116,龙苑大厦,4
117,利雅湾,6
118,江源半岛花园,2
119,风行牛奶宿舍,2
120,保利中辰广场,2
121,广弘天琪,2
122,嘉怡苑,2
123,穗东花园,2
124,南兴花园(天河区),2
125,天华苑,1
126,暨南大学宿舍,9
127,东方都会广场,5
128,华颖花园,3
129,育蕾小区,5
130,翠湖山庄,5
131,园田居,2
132,龙口花苑,5
133,东方新世界熹园,1
134,宝翠园,3
135,保利心语,6
136,雅怡阁,2
137,金碧翡翠华庭,2
138,省工艺大院,1
139,天河星作,6
140,隽峰苑,4
141,天雅居,12
142,兰亭盛荟,22
143,银汇华庭,2
144,跑马地花园三期,4
145,美林湖畔花园,8
146,易通大厦,6
147,豪景花园,6
148,天平架公交宿舍,1
149,美林湖畔花园誉府,3
150,阳光家园(天河),3
151,中铁盛德国际,4
152,东河苑,1
153,珠江华景里,7
154,富力天禧花园,2
155,珠委大院,2
156,海棠阁,1
157,天誉花园,5
158,兰亭荟苑,2
159,荟雅苑,3
160,瑞达大厦,3
161,远洋天骄,15
162,东Z花园,7
163,海欣街海关宿舍,2
164,乐意居花园,6
165,远东大厦,4
166,羊城花园,7
167,协和新世界,4
168,侨乐新村嘉德利湾,3
169,中海Z晖华庭,4
170,员村二横路11号大院,1
171,旭景家园,11
172,美好居,3
173,万科云城米酷,16
174,高德公馆,4
175,建材小区,1
176,保利林海山庄,5
177,天河峰景,4
178,金富苑,1
179,瑜翠园,4
180,金燕花苑,6
181,华润天合,2
182,东方新世界,17
183,华南御景园,6
184,半山雍景苑,3
185,丰乐苑,3
186,金泽大厦,2
187,中海花城湾,8
188,五华大厦,1
189,时代花生二期,3
190,燕东大厦,1
191,侨怡苑,9
192,祥兴大厦,5
193,华天国际广场,4
194,省农机所,1
195,嘉裕公馆,11
196,珠光新城御景,1
197,侨英花园,3
198,燕塘大院,2
199,祥龙花园,2
200,先烈东横路,2
201,天润大厦,2
202,华景新城怡华台,3
203,天龙大厦,2
204,诚居花园,1
205,广海花园,3
206,宝兴翠园,1
207,华景新城逸宁居,2
208,南骏大厦,1
209,天河广场,4
210,省农科院西区,1
211,尚河居,1
212,黄埔大道中锦明街,3
213,五山路电力宿舍,1
214,双城国际,3
215,百脑汇科技大厦,1
216,水利电力学院,1
217,迎翠春庭,3
218,金鼎大厦,3
219,侨明苑,1
220,天河北苑,4
221,天鹅花苑,2
222,棠东远洋小区,2
223,润寿小区,2
224,尚德大厦,2
225,保利中宇广场,1
226,城市假日园,3
227,金海花园,2
228,嘉逸花园,6
229,翠拥华庭锋尚,2
230,嘉裕礼顿阳光,3
231,万菱汇广场,2
232,富力院士庭,4
233,天文苑,3
234,君华上域,1
235,东荣文华轩,1
236,嘉尚国际公寓,1
237,正佳万豪金殿,2
238,育龙居,4
239,长运大院,1
240,白云进修学院教工宿舍,1
241,水荫路永福正街,2
242,勤天E品上馆,2
243,惠苑楼,1
244,阳光桃源,2
245,南天广场,2
246,华苑大厦,2
247,铂林国际公寓,4
248,侨林苑,3
249,东圃广场,2
250,中兴花园,2
251,领汇国际公寓,1
252,华康小区,3
253,鸿翔大厦,3
254,广州大道省府宿舍,1
255,华师大学宿舍北区,1
256,广信红棉阁,1
257,公路局大院,1
258,银利新村,1
259,瑞华大厦,3
260,天逸名都,2
261,银利花苑,2
262,卫生院宿舍,1
263,帝景苑,10
264,汇景新城中央庭院,3
265,恒业大厦,1
266,方圆月岛轩,4
267,凯旋新世界广粤尊府,3
268,博雅首府,1
269,金地天河公馆,3
270,广本宿舍,1
271,青松园,1
272,煤气公司宿舍(天河区),1
273,金达苑,2
274,天河直街远洋宿舍,1
275,省水科院,1
276,恒康阁,1
277,高胜花园,2
278,林和东路155-171号（单号）,1
279,鸿燕居,1
280,远洋小区,2
281,水务局三防办,3
282,侨颖苑,1
283,信达金茂府,1
284,体育西苑,1
285,金晖花园,2
286,骏汇大厦,2
287,利汇名悦大厦,1
288,明轩,1
289,星汇云锦,2
290,名雅苑,2
291,力迅上筑,1
292,耀星华庭,1
293,朝晖苑,3
294,天雅阁,2
295,华景新城逸悦居,3
296,东方之珠花园,1
297,加拿大花园,4
298,叠翠台,1
299,尚东宏御,4
300,东晖花园,4
301,绿佳花园,2
302,冠庭园,2
303,海景花园,2
304,天河鸿运花园,2
305,华景新城逸雅居,2
306,珠光新城御景二期,1
307,南国嘉居,1
308,邮通小区,2
309,龙口东路翠竹苑,1
310,红盾大厦,1
311,百合苑A区,1
312,金穗大厦,3
313,百合苑B区,2
314,福泉楼,1
315,碧海湾,3
316,金润大厦,1
317,天利居,1
318,恒达苑,1
319,汇景新城棕榈园,1
320,嘉怡花苑,1
321,天力居,3
322,天盛大厦,1
323,鸿景园,1
324,华南理工大学宿舍北区,2
325,铝材厂宿舍,1
326,珠江西苑,1
327,华南理工大学宿舍红棉苑,1
328,五山花园,3
329,暨南花园,3
330,华颖轩,1
331,富力盈力大厦,1
332,富力盈丰大厦,1
333,旭日雅苑,2
334,中海观园国际,7
335,保利世纪绿洲一期,1
336,誉峰,4
337,新城海滨花园N区,1
338,越秀星汇御府,1
339,冠军小区,1
340,新大厦,1
341,华景新城华景锦苑,1
342,紫林居,1
343,省社科院宿舍,1
344,华景新城华门阁,1
345,小城之春,1
346,龙珠楼,2
347,尚东美御,1
348,颐德公馆,4
349,汇景新城世家,2
350,九洲海誉居,1
351,凯旋新世界枫丹丽舍,2
352,华南农业大学宿舍嵩山区,1
353,半山翠庭,2
354,阳光都会广场,1
355,穗源阁,1
356,华景新城翠安侬苑,1
357,嘉裕君h公馆,1
358,茶山睿峰园,1
359,天立大厦,4
360,伟诚广场,1
361,佳润临江上品,4
362,广利路,1
363,翠华苑,1
364,华江花园,1
365,员村西街3号大院,1
366,骏逸苑,1
367,君林天下,3
368,员村山顶建设局宿舍,1
369,国土局宿舍,1
370,汇景新城龙熹山,1
371,广东科贸职业学院,1
372,天銮,7
373,法院小区,2
374,福金莲花园,2
375,文苑花园(天河区),1
376,电子宿舍,1
377,东园小区,5
378,侨兴苑,1
379,华建小区,3
380,五羊宿舍,2
381,家和天曜,1
382,合景睿峰L7,2
383,恒大B睿,2
384,泰然居,1
385,富力爱丁堡国际公寓,1
386,中达广场,1
387,石牌东路73号-81号(单号)宿舍,1
388,裕景花园,1
389,瘦狗岭路9号大院,1
390,时尚明苑,1
391,佳润上品菁园,1
392,濂泉西路95号大院,1
393,濂泉路42号大院,1
394,恒安大厦,1
395,华景西街12-16号宿舍（双号）,1
396,富力盈盛广场,1
397,侨辉大厦,1
398,探矿厂宿舍,1
399,侨翠苑,1
400,珠光御景骏庭,1
401,怡侨大厦,3
402,林和东路,1
403,星汇雅苑,1
404,建丽花园,1
405,龙口东路,1
406,半山溪谷E墅,1
407,南国公馆,1
408,翠屏富通雅苑,1
409,华南理工大学宿舍凤凰新村,2
410,水荫四横路干休所宿舍,1
411,东成花苑,4
412,龙岗路,1
413,保利世纪绿洲二期,1
414,君紫花园,2
415,燕塘工业园小区,2
416,龙口中路,1
417,广氮新村,1
418,茶景园,1
419,海景大厦,1
420,金兴花园,1
421,兰亭上东,1
422,佳福阁,1
423,粤韵庭园,1
424,杂技团宿舍,1
425,康湖山庄,1
426,华景新城逸馨居,1
427,林和东小区,1
428,丽晴轩,1
429,黄埔干休所,1
430,珠江都荟华庭,1
431,广梅汕宿舍,1
432,怡景新村,1
433,保利香槟花园,1
434,先烈南路青菜东街,5
435,越秀北路,2
436,海运小区,1
437,洛桑美地,1
438,羊和园,1
439,华逸锦轩,2
440,广园东路,1
441,下塘西路,12
442,淘金家园二三期,6
443,省委党校大院,2
444,先烈中路81号大院,26
445,财厅大院,5
446,东越雅居,2
447,解放北路(越秀区),2
448,共和苑,3
449,东兴小区,4
450,华侨乐园,12
451,福莱花园,1
452,珠江大厦,1
453,水荫路,11
454,波尔多庄园,2
455,天胜村,2
456,麓苑路35号大院,1
457,淘金家园oZ,4
458,富力东山新天地,9
459,华侨新村,11
460,富力御龙庭,8
461,淘金家园一期,3
462,逸雅居,2
463,教工新村,1
464,五羊小区,11
465,共和路,1
466,越秀上品轩,5
467,Z泰大厦,3
468,嘉和苑,5
469,恒雅苑,1
470,东山雅筑,2
471,狮带岗,1
472,地质大院,3
473,广工大院,6
474,陶瓷大厦,1
475,盘福路,1
476,梅花村,12
477,淘金雅苑,5
478,东山水恋,3
479,湖滨苑,1
480,自动化大厦,2
481,水荫路34号大院,1
482,远洋小北宿舍,1
483,东风西路,3
484,东风广场,10
485,东湖新村,6
486,达道路,6
487,中山三路,9
488,恒福路,5
489,犀牛路,1
490,丽苑大厦(越秀区),3
491,佳地华苑大厦,1
492,仓前大厦,1
493,国龙大厦,5
494,东海嘉园,1
495,矿泉大厦,1
496,东川路91号大院,7
497,冠城大厦,1
498,东悦居,2
499,光塔路,2
500,环市中路,1
501,水荫路45号大院,2
502,大沙头路,3
503,黄田小区,6
504,松岗大街宿舍,5
505,东川路,5
506,东兴大厦,3
507,水荫翠院,2
508,印象东山,1
509,聚贤阁,2
510,水荫直街,9
511,嘉富广场,4
512,统战部大院,1
513,省政协宿舍,3
514,共和西小区,4
515,恒鑫御园,1
516,瑶台花园,1
517,东雅轩,1
518,联发名阁,1
519,大德路,9
520,文德东路,1
521,宜安小区,1
522,德政北路,1
523,北秀花园,1
524,大德大厦,1
525,竹丝岗四马路,1
526,淘金路,13
527,越华路,2
528,淘金北路,3
529,惠福东路,3
530,鸿业大厦,1
531,文德广场,7
532,麓苑路,1
533,海南大厦,1
534,水均岗,1
535,德政中路,4
536,北京路,2
537,淘金花园,1
538,嘉骏苑,5
539,环市东路466号大院,2
540,豪贤苑,2
541,拥翠小区,4
542,越秀山体育场综合楼,1
543,民间金融大厦,1
544,江湾298,1
545,应元路,4
546,濠畔商厦,2
547,海中宝大厦,1
548,农林下路,1
549,锦城花园,9
550,黄花新村,8
551,流花广场,3
552,广州卫生厅大院,2
553,大南路,3
554,粤康阁,1
555,羊城商厦,1
556,寺右新马路,1
557,惠福西路,4
558,美东大厦,3
559,金麓山庄,7
560,天锦大厦,2
561,富力东堤湾,14
562,福地轩,1
563,中山四路,3
564,悦湖阁,2
565,北较场路,1
566,恒福阁,3
567,下塘新村,2
568,流花雅轩,2
569,麓苑阁,1
570,共和西路,2
571,锦桦大厦锦桦荟,2
572,兰亭Z濠,3
573,海珠中路,3
574,恒仕大厦,1
575,都府小区,3
576,东方广场,4
577,新河浦路,5
578,朝天路,5
579,商业新村,1
580,骏文雅苑,6
581,达道西路,1
582,青菜岗,2
583,锦源国际公寓,1
584,仓边路,3
585,科技馆大院,4
586,黄华路,1
587,豪贤路,1
588,天字广场,3
589,广信华景大厦,1
590,穗安楼,1
591,小北路,7
592,光孝路,1
593,淘金大厦,2
594,先烈中路,2
595,淘金东路,1
596,电视台大院,2
597,新达城广场,1
598,碧翠苑,5
599,文星阁,1
600,翠怡大厦,3
601,广九三马路7号大院,1
602,大新路,1
603,海印大厦,2
604,嘉颐居,2
605,金羊花园,7
606,东风东路,1
607,云泉新村,2
608,小东园,2
609,永福路89号大院,3
610,华秀苑,4
611,东郊市场,1
612,东方文德广场,3
613,童心路,1
614,文明路,3
615,万科金色家园,1
616,文德先生,5
617,海印花园,3
618,观湖雅轩,2
619,正佳东方国际,2
620,花果山庄,2
621,金铭轩,1
622,嘉洲翠庭,3
623,东园新村,5
624,凯旋会,5
625,富宏花园,6
626,百兴苑,3
627,广园西路,5
628,方凯华庭,1
629,寺贝楼,2
630,建雅台,4
631,东山紫园,1
632,俊逸阁,1
633,云鹤园,2
634,丽日广场,1
635,淘金华庭,2
636,环市东路,1
637,辉煌大厦,3
638,泰康城广场,2
639,署前路,1
640,麓景雅苑,1
641,海珠北路,5
642,东华市场东华东路,2
643,府前铭泰,1
644,新华楼,2
645,嘉诚国际公寓,6
646,庙前西街,1
647,桂花岗,5
648,淘金坑,1
649,体委大院,1
650,广信美景大厦,3
651,东湖路,1
652,东华西路,2
653,较场东路,1
654,东湖御苑,1
655,东山华庭,2
656,花园新村,2
657,康丽居,1
658,竹丝村,2
659,德兴苑,1
660,明月二路,5
661,精彩生活大厦,2
662,东山锦轩,2
663,麓湖御景,2
664,峻峰大厦,3
665,翰林阁,3
666,御东雅苑,1
667,横枝岗56号大院,4
668,惠雅阁,1
669,建设二马路,5
670,爱群荟景湾,4
671,东环路4号大院,2
672,电台大院,3
673,东华南路,6
674,名门越秀,1
675,侨力大厦,1
676,侨福苑,3
677,君汇世家,4
678,建设三马路,1
679,东山欣园,1
680,兰亭君舍,1
681,房建大厦,1
682,东风东路754号大院,1
683,润粤大厦,1
684,天秀大厦,2
685,南方永福国际大厦,1
686,寺右东小区,1
687,麓雅居,1
688,五羊华轩,1
689,东华南路白云楼,1
690,保利中环广场,3
691,韫祥楼,2
692,中山一路,3
693,机关宿舍,1
694,雅景花园,2
695,金东环大厦,1
696,烟墩路,1
697,兴城大厦,1
698,三荣大厦,2
699,区庄村,2
700,文德南路,1
701,广医小区,1
702,中庸金寓,1
703,富兴阁,1
704,顺景大厦,1
705,好世界公寓,2
706,东方花苑,2
707,桃源社区,1
708,太和岗路22号大院,1
709,珠江园,1
710,庙前直街,1
711,泰峰大厦,1
712,文德路,1
713,建设横马路,1
714,麓景路,1
715,翰雅明轩,1
716,文化大楼,1
717,乐韵居,1
718,东山公馆,1
719,恒福路35号大院,1
720,麓湖路3号大院,2
721,竹丝岗二马路,2
722,中山二路,1
723,中冠大厦,2
724,广州大学宿舍,1
725,永福路永福西约,2
726,越富广场,1
727,净慧路,1
728,大东门华庭,1
729,盈基大厦,1
730,银山大厦,1
731,教师宿舍,2
732,湖景华厦,2
733,明泉花园,2
734,安利大厦,1
735,海印集团中心,1
736,花果山社区,1
737,肯辛顿国际公寓,1
738,丽景台,1
739,富力宜居,1
740,永福楼,1
741,恒福路11号大院,1
742,中曦大厦,1
743,国利大厦,1
744,麓湖大厦,1
745,麓湖盛景,1
746,新时代宿舍(北站路),1
747,起义路,1
748,越秀南路,1
749,越秀区第二军休所,1
